Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1884,Gadget X,Furniture,Warehouse 1,Aisle 4,-50.0,29.99,Supplier C,Out of Stock,2022-12-20 00:00:00.000000
1214,Gadget Z,Furniture,Warehouse 2,Unknown,50.0,9.99,Supplier A,Low Stock,2022-12-20 00:00:00.000000
1325,Widget C,Electronics,Warehouse 2,Aisle 5,200.0,9.99,Supplier C,In Stock,2023-03-05 00:00:00.000000
1957,Gadget Y,Toys,Warehouse 3,Aisle 2,-50.0,28.08583858764187,Supplier C,Discontinued,2022-12-20 00:00:00.000000
1414,Gadget Y,Clothing,Warehouse 1,Aisle 5,350.0,28.08583858764187,Supplier B,In Stock,2024-06-17 12:40:01.374181
1001,Widget A,Furniture,Warehouse 2,Aisle 5,-50.0,19.99,Supplier A,Low Stock,2024-06-17 12:40:01.374181
1659,Gadget Z,Clothing,Warehouse 2,Aisle 1,181.59231193376112,19.99,Supplier B,In Stock,2022-12-20 00:00:00.000000
1293,Gadget X,Electronics,Warehouse 3,Aisle 1,50.0,28.08583858764187,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1920,Widget B,Electronics,Warehouse 2,Aisle 3,161.40142517814726,44.989999999999995,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1515,Gadget Y,Clothing,Warehouse 2,Aisle 2,50.0,28.08583858764187,Supplier A,Low Stock,2024-06-17 12:40:01.374181
1190,Gadget Z,Clothing,Warehouse 1,Aisle 2,200.0,9.99,Supplier B,Low Stock,2022-12-20 00:00:00.000000
1122,Widget A,Clothing,Warehouse 1,Aisle 2,100.0,44.989999999999995,Supplier C,In Stock,2023-03-05 00:00:00.000000
1345,Gadget Z,Furniture,Warehouse 3,Aisle 4,200.0,19.2,Supplier A,In Stock,2022-12-20 00:00:00.000000
1032,Widget A,Electronics,Warehouse 1,Aisle 1,161.40142517814726,44.989999999999995,Supplier D,In Stock,2023-04-25 00:00:00.000000
1159,Widget A,Toys,Central Hub,Aisle 1,50.0,44.989999999999995,Supplier A,In Stock,2022-12-20 00:00:00.000000
1612,Gadget Z,Electronics,Warehouse 3,Aisle 3,161.40142517814726,28.08583858764187,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
1258,GADGET X,Clothing,Warehouse 1,Aisle 4,161.40142517814726,29.99,Supplier A,Out of Stock,2023-04-25 00:00:00.000000
1345,Gadget Z,Furniture,Warehouse 3,Aisle 4,200.0,19.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1167,GADGET Y,Clothing,Warehouse 1,Aisle 1,161.40142517814726,29.99,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1009,Widget B,Furniture,Warehouse 2,Aisle 2,100.0,28.08583858764187,Supplier C,In Stock,2023-01-15 00:00:00.000000
1130,Widget C,Toys,Warehouse 2,Aisle 5,300.0,9.99,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
1475,Gadget Y,Furniture,Warehouse 3,Aisle 3,50.0,28.08583858764187,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1648,Gadget Z,Electronics,Warehouse 2,Aisle 4,-50.0,29.99,Supplier C,In Stock,2024-06-17 12:40:01.374181
1492,Widget A,Electronics,Warehouse 3,Aisle 3,100.0,29.99,Supplier D,In Stock,2023-04-25 00:00:00.000000
1206,Widget C,Furniture,Warehouse 1,Aisle 3,50.0,28.08583858764187,Supplier B,Low Stock,2022-12-20 00:00:00.000000
1719,Gadget X,Clothing,Warehouse 3,Aisle 5,150.0,28.08583858764187,Supplier C,Out of Stock,2023-01-15 00:00:00.000000
1471,Widget A,ELECTRONICS,Warehouse 1,Aisle 4,100.0,29.99,Supplier A,Low Stock,2023-01-15 00:00:00.000000
1504,Widget B,Furniture,Warehouse 3,Aisle 4,161.40142517814726,28.08583858764187,Supplier C,In Stock,2022-12-20 00:00:00.000000
1452,Gadget Y,Toys,Warehouse 1,Aisle 5,300.0,29.99,Supplier B,Low Stock,2023-01-15 00:00:00.000000
1500,Widget A,toys,Warehouse 2,Aisle 5,100.0,19.99,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1347,Gadget Z,Electronics,Warehouse 2,Aisle 1,50.0,44.989999999999995,Supplier D,Low Stock,2024-06-17 12:40:01.374181
1530,Widget B,Toys,Warehouse 1,Aisle 1,100.0,44.989999999999995,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1600,Gadget Z,Electronics,Warehouse 3,Aisle 5,300.0,44.989999999999995,Supplier B,Out of Stock,2023-01-15 00:00:00.000000
1046,Gadget Y,Furniture,Warehouse 1,Aisle 5,100.0,9.99,Supplier D,In Stock,2023-01-15 00:00:00.000000
1212,Widget A,Clothing,Warehouse 2,Aisle 1,150.0,28.08583858764187,Supplier D,In Stock,2022-12-20 00:00:00.000000
1770,Gadget Z,Clothing,Warehouse 3,Aisle 1,300.0,19.99,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1510,Widget C,Electronics,Warehouse 2,Aisle 3,300.0,28.08583858764187,Supplier D,Low Stock,2023-04-25 00:00:00.000000
1866,Widget A,Furniture,Warehouse 2,Aisle 3,200.0,19.99,Supplier B,Low Stock,2024-06-17 12:40:01.374181
1053,Widget B,Electronics,Warehouse 2,Aisle 1,161.40142517814726,28.08583858764187,Supplier B,In Stock,2022-12-20 00:00:00.000000
1654,WIDGET A,Toys,Warehouse 2,Aisle 5,100.0,44.989999999999995,Supplier A,In Stock,2023-04-25 00:00:00.000000
1480,Gadget Z,Clothing,Warehouse 1,Aisle 2,-50.0,29.99,Supplier A,Low Stock,2023-03-05 00:00:00.000000
1827,Gadget X,Furniture,Warehouse 2,Aisle 3,181.59215120530862,28.08583858764187,Supplier A,Out of Stock,2023-03-05 00:00:00.000000
1071,Widget B,Clothing,Warehouse 3,Aisle 5,-50.0,28.08583858764187,Supplier A,In Stock,2022-12-20 00:00:00.000000
1616,Gadget Y,Toys,Warehouse 3,Aisle 5,-50.0,19.99,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1761,Widget C,FURNITURE,Warehouse 2,Aisle 4,50.0,44.989999999999995,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1144,Gadget Z,Toys,Warehouse 1,Aisle 1,50.0,44.989999999999995,Supplier B,In Stock,2023-04-25 00:00:00.000000
1105,Gadget X,Electronics,Warehouse 1,Aisle 6,161.40142517814726,29.99,Supplier A,In Stock,2023-01-15 00:00:00.000000
1245,Widget A,Toys,Warehouse 2,Aisle 1,100.0,9.99,Supplier D,Out of Stock,2024-06-17 12:40:01.374181
1089,Widget C,Furniture,Warehouse 3,Aisle 1,150.0,9.99,Supplier C,Low Stock,2024-06-17 12:40:01.374181
1230,Gadget Z,Clothing,Warehouse 1,Aisle 1,100.0,44.989999999999995,Supplier B,In Stock,2024-06-17 12:40:01.374181
1001,GADGET Y,Furniture,Warehouse 1,Aisle 5,181.59223202166154,44.989999999999995,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1121,Widget B,Toys,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Out of Stock,2022-12-20 00:00:00.000000
1607,Gadget Y,Clothing,Warehouse 3,Aisle 2,200.0,29.99,Supplier A,Low Stock,2022-12-20 00:00:00.000000
1251,Widget C,Clothing,Warehouse 1,Aisle 5,161.40142517814726,44.989999999999995,Supplier A,Out of Stock,2022-12-20 00:00:00.000000
1091,Gadget Z,ELECTRONICS,Warehouse 1,Aisle 5,181.59182031309606,44.989999999999995,Supplier A,Out of Stock,2023-01-15 00:00:00.000000
1241,Widget C,Furniture,Warehouse 2,Aisle 2,181.5902222887568,44.989999999999995,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1863,Widget B,Clothing,Warehouse 2,Aisle 3,-50.0,28.08583858764187,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1449,Gadget X,FURNITURE,Central Hub,Aisle 3,-50.0,28.08583858764187,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1883,Gadget X,Furniture,Warehouse 2,Aisle 2,200.0,28.08583858764187,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1345,Widget C,Electronics,Warehouse 1,Aisle 1,350.0,29.99,Supplier D,Low Stock,2023-01-15 00:00:00.000000
1612,Widget C,Electronics,Warehouse 1,Aisle 4,300.0,28.08583858764187,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1366,Gadget Y,Toys,Warehouse 2,Aisle 3,100.0,29.99,Supplier D,In Stock,2022-12-20 00:00:00.000000
1671,Widget C,Toys,Warehouse 3,Unknown,200.0,19.99,Supplier A,Low Stock,2022-12-20 00:00:00.000000
1167,Widget B,Furniture,Warehouse 3,Aisle 5,50.0,28.08583858764187,Supplier B,Out of Stock,2023-04-25 00:00:00.000000
1967,Gadget Y,Clothing,Warehouse 3,Aisle 1,300.0,28.08583858764187,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1763,WIDGET A,Toys,Warehouse 1,Aisle 1,150.0,28.08583858764187,Supplier D,Out of Stock,2023-04-25 00:00:00.000000
1835,Widget C,Furniture,Warehouse 3,Aisle 3,-50.0,28.08583858764187,Supplier D,In Stock,2022-12-20 00:00:00.000000
1035,Gadget X,Electronics,Warehouse 2,Unknown,100.0,44.989999999999995,Supplier A,In Stock,2022-12-20 00:00:00.000000
1019,Gadget X,Electronics,Warehouse 1,Aisle 2,200.0,9.99,Supplier D,Low Stock,2024-06-17 12:40:01.374181
1108,Gadget X,Furniture,Warehouse 1,Aisle 5,300.0,19.99,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
1789,Widget C,Electronics,Warehouse 3,Aisle 1,200.0,44.989999999999995,Supplier A,In Stock,2023-01-15 00:00:00.000000
1172,Widget A,Furniture,Warehouse 2,Aisle 4,300.0,28.08583858764187,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1159,Gadget Z,Toys,Warehouse 1,Aisle 3,150.0,29.99,Supplier C,Out of Stock,2023-01-15 00:00:00.000000
1837,Widget C,Electronics,Warehouse 2,Aisle 2,-50.0,9.99,Supplier D,In Stock,2022-12-20 00:00:00.000000
1920,Gadget Y,Furniture,Warehouse 1,Aisle 5,100.0,29.99,Supplier A,Out of Stock,2023-01-15 00:00:00.000000
1633,Gadget X,Electronics,Warehouse 2,Aisle 4,50.0,19.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1200,Gadget X,Furniture,Warehouse 3,Aisle 3,151.0,28.08583858764187,Supplier C,In Stock,2023-03-05 00:00:00.000000
1443,Gadget Y,Electronics,Warehouse 1,Unknown,161.40142517814726,29.99,Supplier A,discontinued,2023-04-25 00:00:00.000000
1973,Gadget Z,Furniture,Warehouse 2,Aisle 1,100.0,29.99,Supplier C,In Stock,2023-04-25 00:00:00.000000
1098,WIDGET C,Furniture,Central Hub,Aisle 4,200.0,29.99,Supplier C,Out of Stock,2022-12-20 00:00:00.000000
1426,Gadget Z,Furniture,Warehouse 2,Aisle 2,100.0,44.989999999999995,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1130,Gadget X,Electronics,Warehouse 2,Aisle 4,161.40142517814726,29.99,Supplier D,Out of Stock,2023-04-25 00:00:00.000000
1402,GADGET Y,Electronics,Warehouse 2,Aisle 3,150.0,19.99,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
1461,Gadget Z,Toys,Warehouse 2,Aisle 4,200.0,28.08583858764187,Supplier B,In Stock,2023-01-15 00:00:00.000000
1038,Gadget Z,Toys,Warehouse 2,Aisle 3,-25.0,28.08583858764187,Supplier B,Low Stock,2024-06-17 12:40:01.374181
1340,Gadget Y,Clothing,Warehouse 2,Aisle 1,161.40142517814726,19.99,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1655,Gadget Y,Furniture,Warehouse 3,Aisle 2,161.40142517814726,44.989999999999995,Supplier D,Out of Stock,2023-04-25 00:00:00.000000
1153,Gadget X,Toys,Warehouse 1,Aisle 4,100.0,28.08583858764187,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1564,Gadget Y,Toys,Warehouse 3,Aisle 3,150.0,28.08583858764187,Supplier C,in stock,2023-03-05 00:00:00.000000
1284,Widget A,Clothing,Warehouse 1,Aisle 5,150.0,44.989999999999995,Supplier A,Out of Stock,2023-04-25 00:00:00.000000
1669,Widget B,Furniture,Warehouse 2,Aisle 4,150.0,19.99,Supplier C,low stock,2024-06-17 12:40:01.374181
1970,Gadget Y,Clothing,Warehouse 1,Aisle 4,150.0,19.99,Supplier C,In Stock,2023-01-15 00:00:00.000000
1040,Widget B,Clothing,Warehouse 2,Aisle 1,300.0,28.08583858764187,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1284,Widget A,Clothing,Warehouse 2,Aisle 2,181.59197586643842,19.99,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
1075,Widget B,Furniture,Warehouse 3,Aisle 4,100.0,29.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1791,Widget C,Toys,Warehouse 2,Aisle 4,161.40142517814726,28.08583858764187,Supplier C,Discontinued,2022-12-20 00:00:00.000000
1349,Widget B,Furniture,Warehouse 3,Aisle 4,181.5911845145453,28.08583858764187,Supplier A,In Stock,2022-12-20 00:00:00.000000
1950,Widget C,Furniture,Warehouse 1,Aisle 2,181.59254583264268,9.99,Supplier D,Low Stock,2024-06-17 12:40:01.374181
1828,Widget A,Clothing,Warehouse 1,Aisle 5,100.0,28.08583858764187,Supplier D,In Stock,2023-04-25 00:00:00.000000
1255,Widget B,Clothing,Warehouse 2,Aisle 4,150.0,9.99,Supplier B,In Stock,2023-04-25 00:00:00.000000
1027,Widget A,Clothing,Warehouse 1,Aisle 2,-50.0,44.989999999999995,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1574,gadget z,Furniture,Warehouse 3,Aisle 1,100.0,44.989999999999995,Supplier A,Out of Stock,2023-04-25 00:00:00.000000
1267,Gadget Y,Clothing,Warehouse 3,Aisle 3,300.0,9.99,Supplier A,In Stock,2023-03-05 00:00:00.000000
1958,Widget C,Furniture,Warehouse 2,Aisle 3,181.5913356768104,29.99,Supplier A,Out of Stock,2022-12-20 00:00:00.000000
1573,Widget B,Electronics,Warehouse 2,Aisle 3,181.59149594825183,28.08583858764187,Supplier A,In Stock,2024-06-17 12:40:01.374181
1957,Gadget Y,Electronics,Warehouse 2,Aisle 3,310.0,29.99,Supplier A,Out of Stock,2023-04-25 00:00:00.000000
1829,Gadget Z,Clothing,Warehouse 3,Aisle 8,150.0,44.989999999999995,Supplier A,Out of Stock,2022-12-20 00:00:00.000000
1560,Gadget Z,Electronics,Warehouse 1,Aisle 4,150.0,44.989999999999995,Supplier C,discontinued,2024-06-17 12:40:01.374181
1408,widget c,Electronics,Warehouse 1,Aisle 3,15.0,29.99,Supplier C,In Stock,2023-04-25 00:00:00.000000
1524,Gadget Z,clothing,Warehouse 1,Aisle 2,-50.0,28.08583858764187,Supplier C,Low Stock,2024-06-17 12:40:01.374181
1758,Widget B,CLOTHING,Warehouse 1,Aisle 5,181.59147634309494,19.99,Supplier B,Low Stock,2024-06-17 12:40:01.374181
1152,Widget C,Furniture,Warehouse 3,Aisle 2,50.0,44.989999999999995,Supplier D,Low Stock,2024-06-17 12:40:01.374181
1742,Gadget Z,toys,Warehouse 3,Aisle 5,181.5919720754735,29.99,Supplier A,Out of Stock,2022-12-20 00:00:00.000000
1815,Gadget Y,Toys,Warehouse 2,Aisle 5,300.0,28.08583858764187,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1776,Gadget Y,Toys,Warehouse 3,Aisle 4,300.0,44.989999999999995,Supplier C,Low Stock,2023-03-05 00:00:00.000000
1833,Widget B,Electronics,Warehouse 1,Aisle 5,100.0,28.08583858764187,Supplier A,In Stock,2023-03-05 00:00:00.000000
1766,Gadget Y,Clothing,Warehouse 1,Aisle 4,200.0,44.989999999999995,Supplier C,Out of Stock,2023-01-15 00:00:00.000000
1079,Gadget X,Clothing,Warehouse 2,Aisle 3,161.40142517814726,44.989999999999995,Supplier B,Out of Stock,2023-04-25 00:00:00.000000
1563,Gadget X,Furniture,Warehouse 1,Aisle 2,150.0,44.989999999999995,Supplier C,In Stock,2022-12-20 00:00:00.000000
1240,Gadget X,Electronics,Warehouse 3,Aisle 3,150.0,44.989999999999995,Supplier A,Low Stock,2023-04-25 00:00:00.000000
1046,Widget C,furniture,Warehouse 3,Aisle 1,161.40142517814726,9.99,Supplier A,Out of Stock,2024-06-17 12:40:01.374181
1053,Gadget X,Clothing,Warehouse 3,Aisle 4,300.0,44.989999999999995,Supplier A,In Stock,2023-03-05 00:00:00.000000
1397,Gadget Z,Electronics,Warehouse 2,Aisle 2,50.0,9.99,Supplier A,Out of Stock,2023-03-05 00:00:00.000000
1913,Widget C,Electronics,Warehouse 3,Aisle 4,150.0,29.99,Supplier B,In Stock,2023-01-15 00:00:00.000000
1000,Gadget Y,Furniture,Warehouse 1,Aisle 2,100.0,44.989999999999995,Supplier C,Low Stock,2023-01-15 00:00:00.000000
1592,Widget B,Furniture,Warehouse 2,Aisle 2,300.0,44.989999999999995,Supplier D,OUT OF STOCK,2022-12-20 00:00:00.000000
1431,Gadget X,Furniture,Warehouse 1,Aisle 2,161.40142517814726,9.99,Supplier A,Out of Stock,2024-06-17 12:40:01.374181
1683,Gadget Z,Clothing,Warehouse 3,Aisle 5,300.0,28.08583858764187,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1681,Gadget Z,Clothing,Warehouse 2,Aisle 3,100.0,9.99,Supplier A,Low Stock,2022-12-20 00:00:00.000000
1569,Gadget Y,Electronics,Warehouse 1,Aisle 4,-50.0,29.99,Supplier D,Out of Stock,2023-04-25 00:00:00.000000
1324,Gadget Y,Toys,Warehouse 1,Aisle 6,-50.0,28.08583858764187,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1537,Widget A,toys,Warehouse 1,Aisle 4,300.0,28.08583858764187,Supplier B,Out of Stock,2023-01-15 00:00:00.000000
1884,Gadget Z,Clothing,Warehouse 2,Aisle 4,200.0,9.99,Supplier B,in stock,2023-03-05 00:00:00.000000
1123,GADGET X,Clothing,Warehouse 2,Aisle 4,200.0,29.99,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1455,Widget A,Furniture,Warehouse 2,Aisle 3,50.0,19.99,Supplier A,In Stock,2023-03-05 00:00:00.000000
1663,Widget A,Furniture,Warehouse 2,Aisle 5,50.0,44.989999999999995,Supplier C,Low Stock,2023-03-05 00:00:00.000000
1379,Gadget Y,Clothing,Warehouse 3,Aisle 2,181.5929400730325,9.99,Supplier A,In Stock,2023-04-25 00:00:00.000000
1935,Widget A,Furniture,Warehouse 2,Aisle 3,161.40142517814726,19.99,Supplier B,In Stock,2022-12-20 00:00:00.000000
1953,Widget C,Electronics,Warehouse 1,Aisle 3,181.5901430043408,44.989999999999995,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1509,Gadget X,Toys,Warehouse 3,Aisle 2,300.0,29.99,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1181,Widget C,Electronics,Warehouse 2,Aisle 1,50.0,29.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1454,Gadget Z,Toys,Warehouse 1,Aisle 3,150.0,28.08583858764187,Supplier C,In Stock,2022-12-20 00:00:00.000000
1459,Gadget X,Clothing,Warehouse 1,Aisle 3,50.0,28.08583858764187,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1709,Gadget X,Furniture,Warehouse 2,Aisle 2,100.0,19.99,Supplier B,Out of Stock,2023-04-25 00:00:00.000000
1172,Widget C,Toys,Warehouse 1,Aisle 2,150.0,9.99,Supplier C,In Stock,2022-12-20 00:00:00.000000
1166,Gadget Y,Clothing,Warehouse 2,Aisle 1,100.0,28.08583858764187,Supplier B,Out of Stock,2023-04-25 00:00:00.000000
1565,Widget A,Toys,Warehouse 1,Aisle 3,300.0,19.99,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1207,Gadget Z,Toys,Warehouse 3,Aisle 3,300.0,44.989999999999995,Supplier D,Low Stock,2023-04-25 00:00:00.000000
1007,Gadget Y,Furniture,Warehouse 1,Aisle 4,150.0,9.99,Supplier A,Low Stock,2023-04-25 00:00:00.000000
1985,Widget C,Electronics,Warehouse 3,Aisle 3,150.0,44.989999999999995,Supplier D,In Stock,2022-12-20 00:00:00.000000
1455,Widget A,Furniture,Warehouse 2,Aisle 3,50.0,20.61,Supplier A,In Stock,2023-03-05 00:00:00.000000
1115,Widget C,Toys,Warehouse 2,Aisle 4,100.0,28.08583858764187,Supplier C,Low Stock,2023-04-25 00:00:00.000000
1851,Gadget Y,Clothing,Warehouse 2,Aisle 4,50.0,44.989999999999995,Supplier D,Low Stock,2023-01-15 00:00:00.000000
1655,Widget A,Clothing,Warehouse 3,Aisle 5,-50.0,44.989999999999995,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1573,Widget A,Electronics,Warehouse 2,Aisle 5,100.0,29.99,Supplier A,Out of Stock,2023-04-25 00:00:00.000000
1099,Widget B,Clothing,Warehouse 1,Aisle 4,150.0,9.99,Supplier C,In Stock,2023-04-25 00:00:00.000000
1166,Gadget Y,Furniture,Warehouse 2,Aisle 3,50.0,29.99,Supplier C,In Stock,2024-06-17 12:40:01.374181
1823,Gadget Y,Electronics,Warehouse 2,Aisle 3,300.0,19.99,Supplier B,Low Stock,2022-12-20 00:00:00.000000
1098,Widget B,Toys,Warehouse 2,Aisle 2,50.0,29.99,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1577,Gadget Y,Furniture,Warehouse 2,Aisle 2,181.59250833132117,19.99,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1406,Widget A,TOYS,Warehouse 1,Aisle 3,200.0,19.99,Supplier B,Low Stock,2022-12-20 00:00:00.000000
1836,Widget B,Electronics,Warehouse 1,Aisle 1,160.0,28.08583858764187,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1632,Widget C,Furniture,Warehouse 1,Aisle 5,150.0,28.08583858764187,Supplier B,Low Stock,2022-12-20 00:00:00.000000
1074,Widget B,Furniture,Warehouse 1,Aisle 3,200.0,9.99,Supplier D,Out of Stock,2023-01-15 00:00:00.000000
1284,Widget A,Clothing,Warehouse 1,Aisle 2,150.0,44.989999999999995,Supplier A,Out of Stock,2023-04-25 00:00:00.000000
1347,Widget A,Electronics,Warehouse 3,Aisle 5,200.0,29.99,Supplier B,Out of Stock,2023-01-15 00:00:00.000000
1603,Gadget Y,Furniture,Warehouse 2,Aisle 3,300.0,9.99,Supplier C,Low Stock,2023-03-05 00:00:00.000000
1600,Widget C,Clothing,Warehouse 2,missing,161.40142517814726,29.99,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1504,Widget C,CLOTHING,Warehouse 3,Aisle 3,50.0,20.0,Supplier C,in stock,2022-12-20 00:00:00.000000
1969,Gadget Z,Toys,Warehouse 2,Aisle 4,100.0,28.08583858764187,Supplier B,Low Stock,2023-04-25 00:00:00.000000
1841,Widget B,Toys,Warehouse 1,Aisle 4,161.40142517814726,28.08583858764187,Supplier B,In Stock,2022-12-20 00:00:00.000000
1098,Widget B,Electronics,Warehouse 2,Aisle 4,300.0,28.08583858764187,Supplier C,Low Stock,2023-04-25 00:00:00.000000
1683,Gadget Z,Furniture,Warehouse 3,Unknown,161.40142517814726,29.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1090,Gadget Z,Furniture,Warehouse 2,Aisle 2,181.59195619492166,28.08583858764187,Supplier A,Low Stock,2022-12-20 00:00:00.000000
1149,Widget C,Clothing,Warehouse 2,Aisle 1,50.0,19.99,Supplier B,In Stock,2022-12-20 00:00:00.000000
1112,Widget B,Toys,Warehouse 2,Aisle 5,50.0,19.99,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
1098,Widget C,Toys,Warehouse 1,Aisle 2,300.0,28.08583858764187,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1611,Gadget Y,Clothing,Warehouse 3,Unknown,-50.0,28.08583858764187,Supplier A,Out of Stock,2022-12-20 00:00:00.000000
1068,Gadget Z,Electronics,Warehouse 1,Aisle 3,300.0,44.989999999999995,Supplier C,Low Stock,2023-03-05 00:00:00.000000
1180,Widget A,Clothing,Warehouse 2,Aisle 2,300.0,28.08583858764187,Supplier B,Low Stock,2023-01-15 00:00:00.000000
1933,Gadget Y,Electronics,Warehouse 2,Aisle 3,100.0,9.99,Supplier D,Out of Stock,2023-01-15 00:00:00.000000
1792,Widget B,Toys,Warehouse 2,Aisle 1,161.40142517814726,28.08583858764187,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1282,Widget A,Furniture,Warehouse 2,Aisle 5,200.0,9.99,Supplier A,Out of Stock,2023-01-15 00:00:00.000000
1663,Widget A,Toys,Warehouse 3,Aisle 3,161.40142517814726,28.08583858764187,Supplier A,Low Stock,2023-01-15 00:00:00.000000
1671,Widget B,Electronics,Warehouse 3,Aisle 3,200.0,29.99,Supplier B,Low Stock,2022-12-20 00:00:00.000000
1068,Gadget X,Furniture,Warehouse 3,Aisle 2,150.0,19.99,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1717,Gadget Y,Electronics,Warehouse 3,Aisle 3,300.0,19.99,Supplier A,Out of Stock,2024-06-17 12:40:01.374181
1413,Gadget Y,Electronics,Warehouse 3,Aisle 3,150.0,9.99,Supplier C,Out of Stock,2022-12-20 00:00:00.000000
1391,Gadget Z,Furniture,Warehouse 2,Aisle 3,161.40142517814726,9.99,Supplier B,In Stock,2022-12-20 00:00:00.000000
1224,Gadget Z,Furniture,Warehouse 3,Unknown,181.59178063176464,29.99,Supplier C,In Stock,2023-03-05 00:00:00.000000
1498,Gadget X,Toys,Warehouse 2,Aisle 5,150.0,19.99,Supplier C,Low Stock,2023-01-15 00:00:00.000000
1074,Widget B,Furniture,Warehouse 1,Aisle 3,200.0,9.3,Supplier D,Out of Stock,2023-01-15 00:00:00.000000
1821,Gadget Y,Toys,Warehouse 2,Aisle 2,181.59088138058783,44.989999999999995,Supplier D,Low Stock,2022-12-20 00:00:00.000000
