Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked
1884,Gadget X,Furniture,Warehouse 1,Aisle 4,-200,29.99,Supplier C,Out of Stock,2022-12-20 00:00:00.000000
1214,Gadget Z,Furniture,Warehouse 2,None,50.0,9.99,Supplier A,Low Stock,15-Jan-2023
1325,Widget C,Electronics,Warehouse 2,Aisle 5,200.0,9.99,Supplier C,In Stock,2023-03-05 00:00:00.000000
1957,Gadget Y,Toys,Warehouse 3,Aisle 2,-200,not available,Supplier C,Discontinued,2022-12-20 00:00:00.000000
1414,Gadget Y,Clothing,Warehouse 1,Aisle 5,11449,None,Supplier B,In Stock,2024-06-17 12:40:01.374181
1001,Widget A, Furniture ,Warehouse 2,Aisle 5,-300,19.99,Supplier A,Low Stock,2024-06-17 12:40:01.374181
1659,Gadget Z,Clothing,Warehouse 2,Aisle 1,two hundred fifty,19.99,Supplier B,In Stock,2024/06/17
1293,Gadget X,Electronics,Warehouse 3,Aisle 1,50.0,28.08583858764187,Supplier D,Out of Stock,2022-12-20 00:00:00.000000
1920,Widget B,Electronics, Warehouse 2,Aisle 3,161.40142517814726,49.99,Supplier D,Out of Stock,03-05-23
1515, Gadget Y ,Clothing,Warehouse 2,Aisle 2,50.0,not available,Supplier A,Low Stock,2024-06-17 12:40:01.374181
1190,Gadget Z,Clothing,Warehouse 1,Aisle 2,200.0,9.99,Supplier B,Low Stock,05-Mar-2023
1122,Widget A,Clothing,Warehouse 1,Aisle 2,100.0,49.99,Supplier C,In Stock,2023-03-05 00:00:00.000000
1345,Gadget Z,Furniture,Warehouse 3,Aisle 4,200.0,19.2,Supplier A,In Stock,2022-12-20 00:00:00.000000
1032,Widget A,Electronics,Warehouse 1,Aisle 1,161.40142517814726,49.99,Supplier D,In Stock,2023-04-25 00:00:00.000000
1159,Widget A ,Toys,Central Hub,Aisle 1,50.0,49.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1612,Gadget Z ,Electronics,Warehouse 3,Aisle 3,161.40142517814726,,Supplier B,Out of Stock,17/06/2024
1258,GADGET X,Clothing,Warehouse 1,Aisle 4,161.40142517814726,29.99,Supplier A,Out of Stock,2023-04-25 00:00:00.000000
1345,Gadget Z,Furniture,Warehouse 3,Aisle 4,200.0,19.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1167,GADGET Y ,Clothing,Warehouse 1,Aisle 1,161.40142517814726,29.99,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1009,Widget B,Furniture,Warehouse 2,Aisle 2,100.0,28.08583858764187,Supplier C,In Stock,2023-01-15 00:00:00.000000
1130,Widget C,Toys,Warehouse 2,Aisle 5,300.0,9.99,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
1475,Gadget Y,Furniture,Warehouse 3,Aisle 3,50.0,28.08583858764187,Supplier D,Out of Stock,2023/03/05
1648,Gadget Z,Electronics,Warehouse 2,Aisle 4,-200,29.99,Supplier C,In Stock,2024-06-17 12:40:01.374181
1492,Widget A,Electronics,Warehouse 3,Aisle 3,100.0,29.99,Supplier D,In Stock,2023-04-25 00:00:00.000000
1206,Widget C,Furniture,Warehouse 1,Aisle 3,50.0,28.08583858764187,Supplier B,Low Stock,2024/06/17
1719,Gadget X,Clothing,Warehouse 3,Aisle 5,150.0,unknown,Supplier C,Out of Stock,2023-01-15 00:00:00.000000
1471,Widget A, ELECTRONICS , Warehouse 1 ,Aisle 4,100.0,29.99,Supplier A,Low Stock,2023-01-15 00:00:00.000000
1504,Widget B,Furniture,Warehouse 3,Aisle 4,161.40142517814726,not available,Supplier C,In Stock,2023/01/15
1452,Gadget Y,Toys,Warehouse 1,Aisle 5,300.0,29.99,Supplier B,Low Stock,2023-01-15 00:00:00.000000
1500,Widget A,toys,Warehouse 2,Aisle 5,100.0,19.99,Supplier D,Low Stock,2022-12-20 00:00:00.000000
1347,Gadget Z,Electronics,Warehouse 2,Aisle 1,50.0,49.99,Supplier D,,2024-06-17 12:40:01.374181
1530,Widget B,Toys,Warehouse 1,Aisle 1,100.0,49.99,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1600,Gadget Z,Electronics,Warehouse 3,Aisle 5,300.0,49.99,Supplier B,Out of Stock,2023-01-15 00:00:00.000000
1046,Gadget Y,Furniture,Warehouse 1,Aisle 5,100.0,9.99,Supplier D,In Stock,2023-01-15 00:00:00.000000
1212, Widget A,Clothing,Warehouse 2,Aisle 1,150.0,TBD,Supplier D,In Stock,03-05-23
1770,Gadget Z,Clothing,Warehouse 3 ,Aisle 1,300.0,19.99,Supplier D,Low Stock,
1510,Widget C,Electronics, Warehouse 2,Aisle 3,300.0,28.08583858764187,Supplier D,Low Stock,2023-04-25 00:00:00.000000
1866,Widget A,Furniture,Warehouse 2,Aisle 3,200.0,19.99,Supplier B,Low Stock,2024-06-17 12:40:01.374181
1053,Widget B,Electronics,Warehouse 2,Aisle 1,161.40142517814726,28.08583858764187,Supplier B,In Stock,2022-12-20 00:00:00.000000
1654,WIDGET A ,Toys,Warehouse 2,Aisle 5,100.0,49.99,Supplier A,In Stock,2023-04-25 00:00:00.000000
1480,Gadget Z,Clothing,Warehouse 1,Aisle 2,-50,29.99,Supplier A,Low Stock,2023-03-05 00:00:00.000000
1827,Gadget X,Furniture, Warehouse 2,Aisle 3,few,28.08583858764187,Supplier A,Out of Stock,2023-03-05 00:00:00.000000
1071,Widget B,Clothing,Warehouse 3,Aisle 5,-300,,Supplier A,In Stock,2022-12-20 00:00:00.000000
1616,Gadget Y,Toys,Warehouse 3,Aisle 5,-100,19.99,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1761,Widget C,FURNITURE ,Warehouse 2,Aisle 4,50.0,49.99,Supplier D,None,2022-12-20 00:00:00.000000
1144,Gadget Z,Toys,Warehouse 1,Aisle 1,50.0,49.99,Supplier B,In Stock,2023-04-25 00:00:00.000000
1105,Gadget X,Electronics,Warehouse 1,Aisle 6,161.40142517814726,29.99,Supplier A,In Stock,2023-01-15 00:00:00.000000
1245,Widget A,Toys,Warehouse 2,Aisle 1,100.0,9.99,Supplier D,Out of Stock,2024-06-17 12:40:01.374181
1089,Widget C,Furniture,Warehouse 3,Aisle 1,150.0,9.99,Supplier C,Low Stock,2024-06-17 12:40:01.374181
1230,Gadget Z,Clothing, Warehouse 1 ,Aisle 1,100.0,49.99,Supplier B,In Stock,2024-06-17 12:40:01.374181
1001, GADGET Y ,Furniture,Warehouse 1,Aisle 5,one hundred,49.99,Supplier C,Low Stock,2022/12/20
1121,Widget B,Toys,Warehouse 1,Aisle 2,50.0,19.99,Supplier C,Out of Stock,2022-12-20 00:00:00.000000
1607,Gadget Y,Clothing,Warehouse 3,Aisle 2,200.0,29.99,Supplier A,Low Stock,15/01/2023
1251,Widget C,Clothing, Warehouse 1 ,Aisle 5,161.40142517814726,1601.6,Supplier A,Out of Stock,2022-12-20 00:00:00.000000
1091, Gadget Z ,ELECTRONICS ,Warehouse 1,Aisle 5,two hundred fifty,49.99,Supplier A,Out of Stock,2023-01-15 00:00:00.000000
1241,Widget C,Furniture,Warehouse 2,Aisle 2,,49.99,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1863,Widget B,Clothing,Warehouse 2,Aisle 3,-150,unknown,Supplier C,Low Stock,2022-12-20 00:00:00.000000
1449,Gadget X, FURNITURE ,Central Hub,Aisle 3,-161,TBD,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1883,Gadget X,Furniture,Warehouse 2,Aisle 2,200.0,N/A,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1345,Widget C,Electronics,Warehouse 1,Aisle 1,12108,29.99,Supplier D,--,2023-01-15 00:00:00.000000
1612,Widget C,Electronics,Warehouse 1,Aisle 4,300.0,check system,Supplier D,Out of Stock,25/04/2023
1366,Gadget Y,Toys,Warehouse 2,Aisle 3,100.0,29.99,Supplier D,In Stock,2022-12-20 00:00:00.000000
1671,Widget C,Toys,Warehouse 3,,200.0,19.99,Supplier A,Low Stock,17-Jun-2024
1167,Widget B,Furniture,Warehouse 3,Aisle 5,50.0,check system,Supplier B,Out of Stock,2023-04-25 00:00:00.000000
1967,Gadget Y,Clothing,Warehouse 3,Aisle 1,300.0,--,Supplier B,Low Stock,2023-03-05 00:00:00.000000
1763, WIDGET A,Toys,Warehouse 1,Aisle 1,150.0,,Supplier D,Out of Stock,2023-04-25 00:00:00.000000
1835,Widget C,Furniture,Warehouse 3,Aisle 3,-150,check system,Supplier D,In Stock,N/A
1035,Gadget X,Electronics,Warehouse 2,unknown,100.0,49.99,Supplier A,In Stock,2022-12-20 00:00:00.000000
1019,Gadget X, Electronics, Warehouse 1 ,Aisle 2,200.0,9.99,Supplier D,Low Stock,2024-06-17 12:40:01.374181
1108,Gadget X,Furniture,Warehouse 1,Aisle 5,300.0,19.99,Supplier B,Out of Stock,25/04/2023
1789,Widget C,Electronics,Warehouse 3,Aisle 1,200.0,49.99,Supplier A,In Stock,2023-01-15 00:00:00.000000
1172,Widget A,Furniture,Warehouse 2,Aisle 4,300.0,28.08583858764187,Supplier C,Low Stock,15/01/2023
1159,Gadget Z,Toys,Warehouse 1,Aisle 3,150.0,29.99,Supplier C,Out of Stock,2023-01-15 00:00:00.000000
1837,Widget C,Electronics,Warehouse 2,Aisle 2,-150,9.99,Supplier D,In Stock,2023/03/05
1920,Gadget Y,Furniture,Warehouse 1,Aisle 5,100.0,29.99,Supplier A,Out of Stock,2023-01-15 00:00:00.000000
1633,Gadget X,Electronics,Warehouse 2,Aisle 4,50.0,19.99,Supplier A,In Stock,2024/06/17
1200,Gadget X,Furniture,Warehouse 3,Aisle 3,151,28.08583858764187,Supplier C,In Stock,2023-03-05 00:00:00.000000
1443,Gadget Y,Electronics,Warehouse 1,N/A,161.40142517814726,29.99,Supplier A,discontinued,2023-04-25 00:00:00.000000
1973,Gadget Z,Furniture,Warehouse 2,Aisle 1,100.0,29.99,Supplier C,In Stock,2023-04-25 00:00:00.000000
1098,WIDGET C,Furniture,Central Hub,Aisle 4,200.0,29.99,Supplier C,Out of Stock,20/12/2022
1426,Gadget Z,Furniture,Warehouse 2,Aisle 2,100.0,49.99,Supplier B,Out of Stock,2024-06-17 12:40:01.374181
1130,Gadget X,Electronics,Warehouse 2,Aisle 4,161.40142517814726,29.99,Supplier D,Out of Stock,2023-04-25 00:00:00.000000
1402,GADGET Y ,Electronics,Warehouse 2,Aisle 3,150.0,19.99,Supplier B,Out of Stock,2022-12-20 00:00:00.000000
