Filename;ActivityName;Location;ReferenceProduct
001875f7-d482-4c74-89a2-94d0d1b3818f_5a58a8d4-cf9a-4d39-8238-dc66ef28dc93.spold;feldspar production;RER;feldspar
00ebd985-0740-4f4f-a5c4-70a50b184246_cee58461-b57e-4c42-a674-36731e9a5b63.spold;sodium perborate production, tetrahydrate, powder;RER;sodium perborate, tetrahydrate, powder
04f53f12-36ca-4a56-837d-3ac3ba751e1e_b0cd6c3d-d1b6-42f4-8e58-ca6d4d6c3e18.spold;latex production;RER;latex
08be2853-eca0-41c4-b49d-b722090556c1_93ba9b84-9cdb-4159-a78d-ea8b2000fde7.spold;anthraquinone production;RER;anthraquinone
16968_c40e3c0a-292f-45a5-88cd-ed18265cb7d7_d4ee8f39-342b-4443-bbb9-c49b6801b5d6.spold;concrete block production;DE;concrete block
16969_3b1d3c60-3026-4a2e-9a23-c13b640983ec_37eceabd-b33f-4757-a4b9-5c51dee1710d.spold;gravel production, crushed;CA-QC;gravel, crushed
16970_0c7bd885-2c29-4ec0-9eab-cc7665097e70_d454e221-5f08-4259-b46b-31d0dbe595d1.spold;cement mortar production;CH;cement mortar
16971_60db2096-ea0e-4480-b373-e18ebd0f1ce0_dccd37a7-b2cf-47ea-969b-6cdd748dfa12.spold;autoclaved aerated concrete block production;CH;autoclaved aerated concrete block
16972_5298b0ef-630c-4ba5-b38d-bb49f55cb589_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;BR;electricity, high voltage
16973_f5496822-8647-4e7c-aa8b-dc0d830989f0_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, tropical region;BR;electricity, high voltage
16974_7b8fdf3f-91af-4ca3-8d32-0d25acc8463f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, lignite;BR;electricity, high voltage
16975_20e6b007-c3c2-4369-b38e-5a55b15d41c6_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;BR;electricity, high voltage
16976_3d0ca321-4536-4057-884f-3838face0ee5_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, conventional power plant;BR;electricity, high voltage
16977_7442d955-1e24-4a9d-b22b-72874a9af632_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor;BR;electricity, high voltage
16978_003ca640-5f3a-4dc2-9dfb-f5954cd4a7b9_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;BR;electricity, high voltage
16979_3c106f9f-bbb5-4273-bf4c-6d6b6a10f09a_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;BR;electricity, low voltage
16980_ad35a81c-38a7-4358-ba32-fba46ad0d291_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;BR;electricity, high voltage
16981_5da5f332-e754-4192-9a54-d57fe4b38260_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;PE;electricity, high voltage
